,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,-0.0016124697661918839,0.08357968288094599,0.08357968288094599,0.08357968288094599,-0.5675893576995431,-0.30260682612201023
Median (CV),0.0016124697661918839,0.0,0.08357968288094599,0.08357968288094599,0.08357968288094599,-0.5638269282450954,-0.2999193765116904
Mean (RCIW_1),-0.08357968288094599,-0.08357968288094599,0.0,0.0002687449610319806,-0.0002687449610319806,-0.6834184359043268,-0.3877989787691481
Mean (RCIW_2),-0.08357968288094599,-0.08357968288094599,-0.0002687449610319806,0.0,-0.0002687449610319806,-0.6839559258263908,-0.388873958613276
Median (RCIW_3),-0.08357968288094599,-0.08357968288094599,0.0002687449610319806,0.0002687449610319806,0.0,-0.6818059661381349,-0.38672399892502013
Mean (RMAD),0.5675893576995431,0.5638269282450954,0.6834184359043268,0.6839559258263908,0.6818059661381349,0.0,0.1236226820747111
Median (RMAD),0.30260682612201023,0.2999193765116904,0.3877989787691481,0.388873958613276,0.38672399892502013,-0.1236226820747111,0.0
