m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
1,1689104,708.8,5,5,3,3,1,1,1,1,BenchmarkBoolsArrayMarshaler
2,1704842,710.7,5,5,3,3,2,1,1,1,BenchmarkBoolsArrayMarshaler
3,1690080,705.7,5,5,3,3,3,1,1,1,BenchmarkBoolsArrayMarshaler
4,1689864,700.8,5,5,3,3,4,1,1,1,BenchmarkBoolsArrayMarshaler
5,1706480,698.3,5,5,3,3,5,1,1,1,BenchmarkBoolsArrayMarshaler
6,1699494,706.0,5,5,3,3,1,2,1,1,BenchmarkBoolsArrayMarshaler
7,1688305,707.4,5,5,3,3,2,2,1,1,BenchmarkBoolsArrayMarshaler
8,1696394,698.9,5,5,3,3,3,2,1,1,BenchmarkBoolsArrayMarshaler
9,1701237,702.6,5,5,3,3,4,2,1,1,BenchmarkBoolsArrayMarshaler
10,1682914,709.8,5,5,3,3,5,2,1,1,BenchmarkBoolsArrayMarshaler
11,1700294,705.1,5,5,3,3,1,3,1,1,BenchmarkBoolsArrayMarshaler
12,1694580,702.6,5,5,3,3,2,3,1,1,BenchmarkBoolsArrayMarshaler
13,1683956,704.8,5,5,3,3,3,3,1,1,BenchmarkBoolsArrayMarshaler
14,1708267,702.9,5,5,3,3,4,3,1,1,BenchmarkBoolsArrayMarshaler
15,1704698,701.5,5,5,3,3,5,3,1,1,BenchmarkBoolsArrayMarshaler
16,1707634,702.3,5,5,3,3,1,4,1,1,BenchmarkBoolsArrayMarshaler
17,1692794,704.9,5,5,3,3,2,4,1,1,BenchmarkBoolsArrayMarshaler
18,1702916,708.8,5,5,3,3,3,4,1,1,BenchmarkBoolsArrayMarshaler
19,1696155,702.0,5,5,3,3,4,4,1,1,BenchmarkBoolsArrayMarshaler
20,1681820,704.6,5,5,3,3,5,4,1,1,BenchmarkBoolsArrayMarshaler
21,1690328,706.4,5,5,3,3,1,5,1,1,BenchmarkBoolsArrayMarshaler
22,1712522,704.3,5,5,3,3,2,5,1,1,BenchmarkBoolsArrayMarshaler
23,1687026,709.2,5,5,3,3,3,5,1,1,BenchmarkBoolsArrayMarshaler
24,1686717,709.0,5,5,3,3,4,5,1,1,BenchmarkBoolsArrayMarshaler
25,1699796,711.0,5,5,3,3,5,5,1,1,BenchmarkBoolsArrayMarshaler
26,1707067,702.4,5,5,3,3,1,1,2,1,BenchmarkBoolsArrayMarshaler
27,1678969,706.6,5,5,3,3,2,1,2,1,BenchmarkBoolsArrayMarshaler
28,1687545,706.3,5,5,3,3,3,1,2,1,BenchmarkBoolsArrayMarshaler
