Project,Statistic,p-Value
laaber_byte-buddy,3.1869885411189456,0.785038373734632
laaber_jctools,2.966926757133848,0.8129862887801445
laaber_jenetics,0.6208498904817247,0.9960426455756093
laaber_jmh-core-benchmarks,4.69862856911808,0.5830053768066246
laaber_jmh-jdk-microbenchmarks,9.207708824393993,0.16222923797599864
laaber_log4j2,9.173075866287077,0.1640758284249377
laaber_protostuff,7.489765784394664,0.2779156145526525
laaber_rxjava,2.7357671443373124,0.8412046219230728
laaber_squidlib,2.678118397197674,0.8480250227946858
laaber_zipkin,0.8394048756383816,0.9909752481777121
