,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,-0.012554784514243973,0.0015065741417092768,0.016846238130021913,0.001141344046749452,-0.32847881665449236,-0.21133126369612856
Median (CV),0.012554784514243973,0.0,0.014015704894083273,0.029172753834915997,0.013285244704163623,-0.3199872169466764,-0.20252008765522278
Mean (RCIW_1),-0.0015065741417092768,-0.014015704894083273,0.0,0.017804967129291454,0.0006848064280496713,-0.3335007304601899,-0.2172662527392257
Mean (RCIW_2),-0.016846238130021913,-0.029172753834915997,-0.017804967129291454,0.0,-0.01620708546384222,-0.356327611395179,-0.2391800584368152
Median (RCIW_3),-0.001141344046749452,-0.013285244704163623,-0.0006848064280496713,0.01620708546384222,0.0,-0.3319485025566107,-0.2162618699780862
Mean (RMAD),0.32847881665449236,0.3199872169466764,0.3335007304601899,0.356327611395179,0.3319485025566107,0.0,0.09710555149744339
Median (RMAD),0.21133126369612856,0.20252008765522278,0.2172662527392257,0.2391800584368152,0.2162618699780862,-0.09710555149744339,0.0
