m_id,n,ns_per_op,bed,iterations,sr,ir,b_name
1,349,3433171.0,1s,1,1,1,BenchmarkScanComments/1MValid
2,25517776,47.71,1s,1,1,1,BenchmarkScanComments/10ValidUtf8
3,429790,2785.0,1s,1,1,1,BenchmarkScanComments/1kValidUtf8
4,228,5248464.0,1s,1,1,1,BenchmarkScanComments/1MValidUtf8
5,15772292,75.48,1s,1,1,1,BenchmarkScanComments/10Valid
6,186247,6504.0,1s,1,1,1,BenchmarkScanComments/1kValid
7,30756218,38.93,1s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
8,180900,6573.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
9,178,6718505.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1MValid
10,26089530,46.6,1s,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
11,431180,2773.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
12,228,5255795.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
13,6682298,174.3,1s,1,1,1,BenchmarkParseBasicStringWithUnicode/4
14,1624848,745.7,1s,1,1,1,BenchmarkParseBasicStringWithUnicode/8
15,57338035,21.3,1s,1,1,1,BenchmarkParseBasicStringsEasy/1
16,72771565,16.48,1s,1,1,1,BenchmarkParseBasicStringsEasy/4
17,27553116,43.39,1s,1,1,1,BenchmarkParseBasicStringsEasy/8
18,16701373,69.63,1s,1,1,1,BenchmarkParseBasicStringsEasy/16
19,23265625,50.32,1s,1,1,1,BenchmarkParseBasicStringsEasy/21
20,16,66535937.0,1s,1,1,1,BenchmarkUnmarshalDataset/config
21,3,343219211.0,1s,1,1,1,BenchmarkUnmarshalDataset/canada
22,22,52052163.0,1s,1,1,1,BenchmarkUnmarshalDataset/citm_catalog
23,67,19705087.0,1s,1,1,1,BenchmarkUnmarshalDataset/twitter
24,8,133360843.0,1s,1,1,1,BenchmarkUnmarshalDataset/code
25,1984,625293.0,1s,1,1,1,BenchmarkUnmarshalDataset/example
26,407624,3307.0,1s,1,1,1,BenchmarkUnmarshal/SimpleDocument/struct
27,365384,3365.0,1s,1,1,1,BenchmarkUnmarshal/SimpleDocument/map
28,7996,147332.0,1s,1,1,1,BenchmarkUnmarshal/ReferenceFile/struct
29,10000,101777.0,1s,1,1,1,BenchmarkUnmarshal/ReferenceFile/map
30,28737,39799.0,1s,1,1,1,BenchmarkUnmarshal/HugoFrontMatter
31,977700,1417.0,1s,1,1,1,BenchmarkMarshal/SimpleDocument/struct
32,560426,2240.0,1s,1,1,1,BenchmarkMarshal/SimpleDocument/map
33,22035,53962.0,1s,1,1,1,BenchmarkMarshal/ReferenceFile/struct
34,16690,72623.0,1s,1,1,1,BenchmarkMarshal/ReferenceFile/map
35,92618,12917.0,1s,1,1,1,BenchmarkMarshal/HugoFrontMatter
36,697,3445324.0,2s,1,1,1,BenchmarkScanComments/1MValid
37,96168883,24.98,2s,1,1,1,BenchmarkScanComments/10ValidUtf8
38,849276,2788.0,2s,1,1,1,BenchmarkScanComments/1kValidUtf8
39,836,2875699.0,2s,1,1,1,BenchmarkScanComments/1MValidUtf8
40,60495344,39.28,2s,1,1,1,BenchmarkScanComments/10Valid
41,711787,3367.0,2s,1,1,1,BenchmarkScanComments/1kValid
42,61473454,39.18,2s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
43,365919,6564.0,2s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
