m_id,n,ns_per_op,bed,iterations,sr,ir,b_name
1,174,6781039.0,1s,1,1,1,BenchmarkScanComments/1MValid
2,24867212,48.43,1s,1,1,1,BenchmarkScanComments/10ValidUtf8
3,429040,2784.0,1s,1,1,1,BenchmarkScanComments/1kValidUtf8
4,226,5275852.0,1s,1,1,1,BenchmarkScanComments/1MValidUtf8
5,30480757,39.2,1s,1,1,1,BenchmarkScanComments/10Valid
6,183195,5729.0,1s,1,1,1,BenchmarkScanComments/1kValid
7,428922,2792.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
8,224,5333762.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
9,30774163,38.96,1s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
10,180948,6612.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
11,340,3442102.0,1s,1,1,1,BenchmarkParseLiteralStringValid/1MValid
12,25210002,47.73,1s,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
13,2392353,492.4,1s,1,1,1,BenchmarkParseBasicStringWithUnicode/4
14,1629189,752.2,1s,1,1,1,BenchmarkParseBasicStringWithUnicode/8
15,100000000,11.37,1s,1,1,1,BenchmarkParseBasicStringsEasy/1
16,71846937,16.51,1s,1,1,1,BenchmarkParseBasicStringsEasy/4
17,27568488,43.43,1s,1,1,1,BenchmarkParseBasicStringsEasy/8
18,17163916,69.49,1s,1,1,1,BenchmarkParseBasicStringsEasy/16
19,14322358,88.4,1s,1,1,1,BenchmarkParseBasicStringsEasy/21
20,15,67595179.0,1s,1,1,1,BenchmarkUnmarshalDataset/config
21,4,295805974.0,1s,1,1,1,BenchmarkUnmarshalDataset/canada
22,10,105182203.0,1s,1,1,1,BenchmarkUnmarshalDataset/citm_catalog
23,38,44178696.0,1s,1,1,1,BenchmarkUnmarshalDataset/twitter
24,4,278340827.0,1s,1,1,1,BenchmarkUnmarshalDataset/code
25,4822,232933.0,1s,1,1,1,BenchmarkUnmarshalDataset/example
26,444147,3068.0,1s,1,1,1,BenchmarkUnmarshal/SimpleDocument/struct
27,425991,3167.0,1s,1,1,1,BenchmarkUnmarshal/SimpleDocument/map
28,17143,69186.0,1s,1,1,1,BenchmarkUnmarshal/ReferenceFile/struct
29,5529,231861.0,1s,1,1,1,BenchmarkUnmarshal/ReferenceFile/map
30,67941,17301.0,1s,1,1,1,BenchmarkUnmarshal/HugoFrontMatter
31,2059129,558.9,1s,1,1,1,BenchmarkMarshal/SimpleDocument/struct
32,1382475,868.4,1s,1,1,1,BenchmarkMarshal/SimpleDocument/map
33,22968,54838.0,1s,1,1,1,BenchmarkMarshal/ReferenceFile/struct
34,7408,181835.0,1s,1,1,1,BenchmarkMarshal/ReferenceFile/map
35,91096,12798.0,1s,1,1,1,BenchmarkMarshal/HugoFrontMatter
36,358,6637302.0,2s,1,1,1,BenchmarkScanComments/1MValid
37,50203658,47.54,2s,1,1,1,BenchmarkScanComments/10ValidUtf8
38,468033,5097.0,2s,1,1,1,BenchmarkScanComments/1kValidUtf8
39,840,2847491.0,2s,1,1,1,BenchmarkScanComments/1MValidUtf8
40,58404038,39.21,2s,1,1,1,BenchmarkScanComments/10Valid
41,710671,3365.0,2s,1,1,1,BenchmarkScanComments/1kValid
42,458923,5232.0,2s,1,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
43,842,2850993.0,2s,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
44,31559319,75.78,2s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
45,711549,3376.0,2s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
46,698,3439607.0,2s,1,1,1,BenchmarkParseLiteralStringValid/1MValid
47,50328280,47.34,2s,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
48,4938165,480.9,2s,1,1,1,BenchmarkParseBasicStringWithUnicode/4
49,3275756,738.6,2s,1,1,1,BenchmarkParseBasicStringWithUnicode/8
50,100000000,21.29,2s,1,1,1,BenchmarkParseBasicStringsEasy/1
51,145980302,16.43,2s,1,1,1,BenchmarkParseBasicStringsEasy/4
52,55108407,43.61,2s,1,1,1,BenchmarkParseBasicStringsEasy/8
53,34111818,69.57,2s,1,1,1,BenchmarkParseBasicStringsEasy/16
54,47560922,51.14,2s,1,1,1,BenchmarkParseBasicStringsEasy/21
55,79,31238768.0,2s,1,1,1,BenchmarkUnmarshalDataset/config
56,7,292646190.0,2s,1,1,1,BenchmarkUnmarshalDataset/canada
57,44,51580444.0,2s,1,1,1,BenchmarkUnmarshalDataset/citm_catalog
58,130,18690085.0,2s,1,1,1,BenchmarkUnmarshalDataset/twitter
59,18,131322408.0,2s,1,1,1,BenchmarkUnmarshalDataset/code
60,9667,236719.0,2s,1,1,1,BenchmarkUnmarshalDataset/example
61,878262,2410.0,2s,1,1,1,BenchmarkUnmarshal/SimpleDocument/struct
62,688560,3118.0,2s,1,1,1,BenchmarkUnmarshal/SimpleDocument/map
63,35803,66753.0,2s,1,1,1,BenchmarkUnmarshal/ReferenceFile/struct
64,24326,99352.0,2s,1,1,1,BenchmarkUnmarshal/ReferenceFile/map
65,142580,16937.0,2s,1,1,1,BenchmarkUnmarshal/HugoFrontMatter
66,3764088,563.4,2s,1,1,1,BenchmarkMarshal/SimpleDocument/struct
67,2830016,846.7,2s,1,1,1,BenchmarkMarshal/SimpleDocument/map
68,45903,52969.0,2s,1,1,1,BenchmarkMarshal/ReferenceFile/struct
69,14198,169336.0,2s,1,1,1,BenchmarkMarshal/ReferenceFile/map
70,74037,32003.0,2s,1,1,1,BenchmarkMarshal/HugoFrontMatter
71,1042,3450166.0,3s,1,1,1,BenchmarkScanComments/1MValid
72,76051764,47.29,3s,1,1,1,BenchmarkScanComments/10ValidUtf8
73,1294208,2780.0,3s,1,1,1,BenchmarkScanComments/1kValidUtf8
74,1255,2863828.0,3s,1,1,1,BenchmarkScanComments/1MValidUtf8
75,91192870,39.36,3s,1,1,1,BenchmarkScanComments/10Valid
76,1000000,3358.0,3s,1,1,1,BenchmarkScanComments/1kValid
77,1296270,2776.0,3s,1,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
78,1258,2858451.0,3s,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
79,47702623,75.11,3s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
80,1000000,3361.0,3s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
81,1039,3454573.0,3s,1,1,1,BenchmarkParseLiteralStringValid/1MValid
82,76653229,47.12,3s,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
83,19771508,181.7,3s,1,1,1,BenchmarkParseBasicStringWithUnicode/4
84,4879970,748.1,3s,1,1,1,BenchmarkParseBasicStringWithUnicode/8
85,318717022,11.3,3s,1,1,1,BenchmarkParseBasicStringsEasy/1
86,218478582,16.54,3s,1,1,1,BenchmarkParseBasicStringsEasy/4
87,156245229,23.33,3s,1,1,1,BenchmarkParseBasicStringsEasy/8
88,96458256,36.96,3s,1,1,1,BenchmarkParseBasicStringsEasy/16
89,40715023,87.4,3s,1,1,1,BenchmarkParseBasicStringsEasy/21
90,100,31912532.0,3s,1,1,1,BenchmarkUnmarshalDataset/config
91,21,154398282.0,3s,1,1,1,BenchmarkUnmarshalDataset/canada
92,60,54488382.0,3s,1,1,1,BenchmarkUnmarshalDataset/citm_catalog
93,78,43962911.0,3s,1,1,1,BenchmarkUnmarshalDataset/twitter
94,12,282933382.0,3s,1,1,1,BenchmarkUnmarshalDataset/code
95,13876,258354.0,3s,1,1,1,BenchmarkUnmarshalDataset/example
96,3315576,996.9,3s,1,1,1,BenchmarkUnmarshal/SimpleDocument/struct
97,2565008,1345.0,3s,1,1,1,BenchmarkUnmarshal/SimpleDocument/map
98,22972,154363.0,3s,1,1,1,BenchmarkUnmarshal/ReferenceFile/struct
99,33105,105798.0,3s,1,1,1,BenchmarkUnmarshal/ReferenceFile/map
100,86589,42655.0,3s,1,1,1,BenchmarkUnmarshal/HugoFrontMatter
101,2380152,1441.0,3s,1,1,1,BenchmarkMarshal/SimpleDocument/struct
102,1434922,2194.0,3s,1,1,1,BenchmarkMarshal/SimpleDocument/map
103,63570,56462.0,3s,1,1,1,BenchmarkMarshal/ReferenceFile/struct
104,48460,75114.0,3s,1,1,1,BenchmarkMarshal/ReferenceFile/map
105,266661,13459.0,3s,1,1,1,BenchmarkMarshal/HugoFrontMatter
106,1388,3450969.0,4s,1,1,1,BenchmarkScanComments/1MValid
107,192603866,24.94,4s,1,1,1,BenchmarkScanComments/10ValidUtf8
108,1724880,2780.0,4s,1,1,1,BenchmarkScanComments/1kValidUtf8
109,1670,2865162.0,4s,1,1,1,BenchmarkScanComments/1MValidUtf8
110,63802804,74.91,4s,1,1,1,BenchmarkScanComments/10Valid
111,1428723,3375.0,4s,1,1,1,BenchmarkScanComments/1kValid
112,1727361,2778.0,4s,1,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
113,1674,2862646.0,4s,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
114,123312592,38.93,4s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
115,1427018,3361.0,4s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
116,1384,3457926.0,4s,1,1,1,BenchmarkParseLiteralStringValid/1MValid
117,188114322,25.51,4s,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
118,26127231,182.6,4s,1,1,1,BenchmarkParseBasicStringWithUnicode/4
119,15344208,313.5,4s,1,1,1,BenchmarkParseBasicStringWithUnicode/8
120,228858505,21.04,4s,1,1,1,BenchmarkParseBasicStringsEasy/1
121,289954656,16.54,4s,1,1,1,BenchmarkParseBasicStringsEasy/4
122,100000000,43.01,4s,1,1,1,BenchmarkParseBasicStringsEasy/8
123,68466559,69.36,4s,1,1,1,BenchmarkParseBasicStringsEasy/16
124,93080720,51.34,4s,1,1,1,BenchmarkParseBasicStringsEasy/21
125,148,31903351.0,4s,1,1,1,BenchmarkUnmarshalDataset/config
126,28,160195464.0,4s,1,1,1,BenchmarkUnmarshalDataset/canada
127,80,55861401.0,4s,1,1,1,BenchmarkUnmarshalDataset/citm_catalog
128,226,21086248.0,4s,1,1,1,BenchmarkUnmarshalDataset/twitter
129,16,274541636.0,4s,1,1,1,BenchmarkUnmarshalDataset/code
130,18372,261006.0,4s,1,1,1,BenchmarkUnmarshalDataset/example
131,4604842,1006.0,4s,1,1,1,BenchmarkUnmarshal/SimpleDocument/struct
132,1370410,3524.0,4s,1,1,1,BenchmarkUnmarshal/SimpleDocument/map
133,66948,71292.0,4s,1,1,1,BenchmarkUnmarshal/ReferenceFile/struct
134,20527,235591.0,4s,1,1,1,BenchmarkUnmarshal/ReferenceFile/map
135,116503,42682.0,4s,1,1,1,BenchmarkUnmarshal/HugoFrontMatter
136,8151890,591.5,4s,1,1,1,BenchmarkMarshal/SimpleDocument/struct
137,5312720,897.3,4s,1,1,1,BenchmarkMarshal/SimpleDocument/map
138,83630,57475.0,4s,1,1,1,BenchmarkMarshal/ReferenceFile/struct
139,65064,74329.0,4s,1,1,1,BenchmarkMarshal/ReferenceFile/map
140,357686,13391.0,4s,1,1,1,BenchmarkMarshal/HugoFrontMatter
141,2074,2898782.0,5s,1,1,1,BenchmarkScanComments/1MValid
142,275737584,21.72,5s,1,1,1,BenchmarkScanComments/10ValidUtf8
143,2547169,2357.0,5s,1,1,1,BenchmarkScanComments/1kValidUtf8
144,2529,2361216.0,5s,1,1,1,BenchmarkScanComments/1MValidUtf8
145,181873263,32.98,5s,1,1,1,BenchmarkScanComments/10Valid
146,2115184,2843.0,5s,1,1,1,BenchmarkScanComments/1kValid
147,2458789,2443.0,5s,1,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
148,1071,5586688.0,5s,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
149,166274784,35.95,5s,1,1,1,BenchmarkParseLiteralStringValid/10Valid
150,1909629,3148.0,5s,1,1,1,BenchmarkParseLiteralStringValid/1kValid
151,831,7193971.0,5s,1,1,1,BenchmarkParseLiteralStringValid/1MValid
152,267709300,22.35,5s,1,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
153,13393261,449.8,5s,1,1,1,BenchmarkParseBasicStringWithUnicode/4
154,24087621,251.0,5s,1,1,1,BenchmarkParseBasicStringWithUnicode/8
155,643458922,9.326,5s,1,1,1,BenchmarkParseBasicStringsEasy/1
156,393974870,15.26,5s,1,1,1,BenchmarkParseBasicStringsEasy/4
157,125498221,48.08,5s,1,1,1,BenchmarkParseBasicStringsEasy/8
158,174357860,34.44,5s,1,1,1,BenchmarkParseBasicStringsEasy/16
159,135217473,44.45,5s,1,1,1,BenchmarkParseBasicStringsEasy/21
160,222,26554198.0,5s,1,1,1,BenchmarkUnmarshalDataset/config
161,48,130236231.0,5s,1,1,1,BenchmarkUnmarshalDataset/canada
162,130,44620414.0,5s,1,1,1,BenchmarkUnmarshalDataset/citm_catalog
163,367,16030232.0,5s,1,1,1,BenchmarkUnmarshalDataset/twitter
164,51,115504505.0,5s,1,1,1,BenchmarkUnmarshalDataset/code
165,30548,195003.0,5s,1,1,1,BenchmarkUnmarshalDataset/example
166,7946386,759.8,5s,1,1,1,BenchmarkUnmarshal/SimpleDocument/struct
167,2305952,2679.0,5s,1,1,1,BenchmarkUnmarshal/SimpleDocument/map
168,105013,57687.0,5s,1,1,1,BenchmarkUnmarshal/ReferenceFile/struct
169,69504,85480.0,5s,1,1,1,BenchmarkUnmarshal/ReferenceFile/map
170,408248,14742.0,5s,1,1,1,BenchmarkUnmarshal/HugoFrontMatter
171,12206568,488.7,5s,1,1,1,BenchmarkMarshal/SimpleDocument/struct
172,7951718,756.9,5s,1,1,1,BenchmarkMarshal/SimpleDocument/map
173,138217,43231.0,5s,1,1,1,BenchmarkMarshal/ReferenceFile/struct
174,101431,59123.0,5s,1,1,1,BenchmarkMarshal/ReferenceFile/map
175,563029,10444.0,5s,1,1,1,BenchmarkMarshal/HugoFrontMatter
176,166,7150815.0,1s,2,1,1,BenchmarkScanComments/1MValid
177,416,2902462.0,1s,2,1,1,BenchmarkScanComments/1MValid
178,55305480,21.8,1s,2,1,1,BenchmarkScanComments/10ValidUtf8
179,54730904,21.7,1s,2,1,1,BenchmarkScanComments/10ValidUtf8
180,506925,2354.0,1s,2,1,1,BenchmarkScanComments/1kValidUtf8
181,504537,2352.0,1s,2,1,1,BenchmarkScanComments/1kValidUtf8
182,507,2360524.0,1s,2,1,1,BenchmarkScanComments/1MValidUtf8
183,508,2364332.0,1s,2,1,1,BenchmarkScanComments/1MValidUtf8
184,14607154,83.35,1s,2,1,1,BenchmarkScanComments/10Valid
185,14403127,84.37,1s,2,1,1,BenchmarkScanComments/10Valid
186,168916,7061.0,1s,2,1,1,BenchmarkScanComments/1kValid
187,417903,2845.0,1s,2,1,1,BenchmarkScanComments/1kValid
188,220158,5459.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
189,481886,2445.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1kValidUtf8
190,217,5492679.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
191,480,2485217.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
192,33844258,35.81,1s,2,1,1,BenchmarkParseLiteralStringValid/10Valid
193,33621832,35.98,1s,2,1,1,BenchmarkParseLiteralStringValid/10Valid
194,170817,7032.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1kValid
195,380946,3172.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1kValid
196,372,3219821.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1MValid
197,370,3231021.0,1s,2,1,1,BenchmarkParseLiteralStringValid/1MValid
198,53378386,22.34,1s,2,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
199,53271854,22.37,1s,2,1,1,BenchmarkParseLiteralStringValid/10ValidUtf8
200,7815908,156.9,1s,2,1,1,BenchmarkParseBasicStringWithUnicode/4
201,7731541,154.7,1s,2,1,1,BenchmarkParseBasicStringWithUnicode/4
202,1716733,703.0,1s,2,1,1,BenchmarkParseBasicStringWithUnicode/8
203,4740280,252.5,1s,2,1,1,BenchmarkParseBasicStringWithUnicode/8
204,129025774,9.31,1s,2,1,1,BenchmarkParseBasicStringsEasy/1
205,128699007,9.327,1s,2,1,1,BenchmarkParseBasicStringsEasy/1
206,78348998,15.25,1s,2,1,1,BenchmarkParseBasicStringsEasy/4
207,78813654,15.26,1s,2,1,1,BenchmarkParseBasicStringsEasy/4
208,58149806,20.56,1s,2,1,1,BenchmarkParseBasicStringsEasy/8
209,58051700,20.58,1s,2,1,1,BenchmarkParseBasicStringsEasy/8
210,16354396,73.56,1s,2,1,1,BenchmarkParseBasicStringsEasy/16
211,34801850,34.37,1s,2,1,1,BenchmarkParseBasicStringsEasy/16
212,26209862,44.45,1s,2,1,1,BenchmarkParseBasicStringsEasy/21
213,26844158,44.4,1s,2,1,1,BenchmarkParseBasicStringsEasy/21
214,44,27093615.0,1s,2,1,1,BenchmarkUnmarshalDataset/config
215,44,26782687.0,1s,2,1,1,BenchmarkUnmarshalDataset/config
216,4,257556120.0,1s,2,1,1,BenchmarkUnmarshalDataset/canada
217,8,128533142.0,1s,2,1,1,BenchmarkUnmarshalDataset/canada
218,12,94155176.0,1s,2,1,1,BenchmarkUnmarshalDataset/citm_catalog
219,25,45332228.0,1s,2,1,1,BenchmarkUnmarshalDataset/citm_catalog
220,78,16170036.0,1s,2,1,1,BenchmarkUnmarshalDataset/twitter
221,79,16112932.0,1s,2,1,1,BenchmarkUnmarshalDataset/twitter
222,5,242802729.0,1s,2,1,1,BenchmarkUnmarshalDataset/code
223,9,116911978.0,1s,2,1,1,BenchmarkUnmarshalDataset/code
224,5820,197377.0,1s,2,1,1,BenchmarkUnmarshalDataset/example
225,5428,197022.0,1s,2,1,1,BenchmarkUnmarshalDataset/example
226,1573242,764.5,1s,2,1,1,BenchmarkUnmarshal/SimpleDocument/struct
227,1568263,756.5,1s,2,1,1,BenchmarkUnmarshal/SimpleDocument/struct
228,448150,2550.0,1s,2,1,1,BenchmarkUnmarshal/SimpleDocument/map
229,1000000,1041.0,1s,2,1,1,BenchmarkUnmarshal/SimpleDocument/map
230,10000,143007.0,1s,2,1,1,BenchmarkUnmarshal/ReferenceFile/struct
