m_id,n,ns_per_op,bed,iterations,sr,ir,b_name
1,178,6654090.0,1s,1,1,3,BenchmarkScanComments/1MValid
2,48071265,24.86,1s,1,1,3,BenchmarkScanComments/10ValidUtf8
3,230979,5175.0,1s,1,1,3,BenchmarkScanComments/1kValidUtf8
4,418,2860321.0,1s,1,1,3,BenchmarkScanComments/1MValidUtf8
5,30497330,39.32,1s,1,1,3,BenchmarkScanComments/10Valid
6,182876,6549.0,1s,1,1,3,BenchmarkScanComments/1kValid
7,420,2850392.0,1s,1,1,3,BenchmarkParseLiteralStringValid/1MValidUtf8
8,30739599,38.95,1s,1,1,3,BenchmarkParseLiteralStringValid/10Valid
9,181216,6589.0,1s,1,1,3,BenchmarkParseLiteralStringValid/1kValid
10,176,6706854.0,1s,1,1,3,BenchmarkParseLiteralStringValid/1MValid
11,46819000,25.5,1s,1,1,3,BenchmarkParseLiteralStringValid/10ValidUtf8
12,228936,5225.0,1s,1,1,3,BenchmarkParseLiteralStringValid/1kValidUtf8
13,2543461,482.4,1s,1,1,3,BenchmarkParseBasicStringWithUnicode/4
14,3918723,307.9,1s,1,1,3,BenchmarkParseBasicStringWithUnicode/8
15,56389962,21.1,1s,1,1,3,BenchmarkParseBasicStringsEasy/1
16,37811961,31.66,1s,1,1,3,BenchmarkParseBasicStringsEasy/4
17,51890289,23.21,1s,1,1,3,BenchmarkParseBasicStringsEasy/8
18,17048701,69.63,1s,1,1,3,BenchmarkParseBasicStringsEasy/16
19,13762568,87.52,1s,1,1,3,BenchmarkParseBasicStringsEasy/21
20,16,68186178.0,1s,1,1,3,BenchmarkUnmarshalDataset/config
21,4,301036588.0,1s,1,1,3,BenchmarkUnmarshalDataset/canada
22,9,113161986.0,1s,1,1,3,BenchmarkUnmarshalDataset/citm_catalog
23,67,19484879.0,1s,1,1,3,BenchmarkUnmarshalDataset/twitter
24,8,131903750.0,1s,1,1,3,BenchmarkUnmarshalDataset/code
25,1926,622259.0,1s,1,1,3,BenchmarkUnmarshalDataset/example
26,1282009,937.3,1s,1,1,3,BenchmarkUnmarshal/SimpleDocument/struct
27,891123,1298.0,1s,1,1,3,BenchmarkUnmarshal/SimpleDocument/map
28,17126,69718.0,1s,1,1,3,BenchmarkUnmarshal/ReferenceFile/struct
29,5485,232272.0,1s,1,1,3,BenchmarkUnmarshal/ReferenceFile/map
30,29774,50309.0,1s,1,1,3,BenchmarkUnmarshal/HugoFrontMatter
31,2089477,662.6,1s,1,1,3,BenchmarkMarshal/SimpleDocument/struct
32,518298,2152.0,1s,1,1,3,BenchmarkMarshal/SimpleDocument/map
33,10000,151475.0,1s,1,1,3,BenchmarkMarshal/ReferenceFile/struct
34,7822,161013.0,1s,1,1,3,BenchmarkMarshal/ReferenceFile/map
35,91023,13378.0,1s,1,1,3,BenchmarkMarshal/HugoFrontMatter
36,348,3436762.0,1s,1,1,3,BenchmarkScanComments/1MValid
37,48037484,24.93,1s,1,1,3,BenchmarkScanComments/10ValidUtf8
38,233197,5117.0,1s,1,1,3,BenchmarkScanComments/1kValidUtf8
39,228,5235865.0,1s,1,1,3,BenchmarkScanComments/1MValidUtf8
40,15777398,75.84,1s,1,1,3,BenchmarkScanComments/10Valid
41,355284,3363.0,1s,1,1,3,BenchmarkScanComments/1kValid
42,224,5331456.0,1s,1,1,3,BenchmarkParseLiteralStringValid/1MValidUtf8
43,30652614,38.94,1s,1,1,3,BenchmarkParseLiteralStringValid/10Valid
