m_id,n,ns_per_op,bed,iterations,sr,ir,b_name
94,20,113924610.0,2s,1,1,2,BenchmarkUnmarshalDataset/code
95,12770,188774.0,2s,1,1,2,BenchmarkUnmarshalDataset/example
96,1360844,1675.0,2s,1,1,2,BenchmarkUnmarshal/SimpleDocument/struct
97,808041,2513.0,2s,1,1,2,BenchmarkUnmarshal/SimpleDocument/map
98,43254,56564.0,2s,1,1,2,BenchmarkUnmarshal/ReferenceFile/struct
99,10000,200871.0,2s,1,1,2,BenchmarkUnmarshal/ReferenceFile/map
100,73009,33330.0,2s,1,1,2,BenchmarkUnmarshal/HugoFrontMatter
101,5039307,472.6,2s,1,1,2,BenchmarkMarshal/SimpleDocument/struct
102,2812705,765.2,2s,1,1,2,BenchmarkMarshal/SimpleDocument/map
103,21274,110564.0,2s,1,1,2,BenchmarkMarshal/ReferenceFile/struct
104,41924,58933.0,2s,1,1,2,BenchmarkMarshal/ReferenceFile/map
105,87445,28864.0,2s,1,1,2,BenchmarkMarshal/HugoFrontMatter
106,698,3443588.0,2s,1,1,2,BenchmarkScanComments/1MValid
107,50449790,47.86,2s,1,1,2,BenchmarkScanComments/10ValidUtf8
108,862846,2785.0,2s,1,1,2,BenchmarkScanComments/1kValidUtf8
109,456,5255056.0,2s,1,1,2,BenchmarkScanComments/1MValidUtf8
110,58467231,39.26,2s,1,1,2,BenchmarkScanComments/10Valid
111,713044,3369.0,2s,1,1,2,BenchmarkScanComments/1kValid
112,49296996,47.97,2s,1,1,2,BenchmarkParseLiteralStringValid/10ValidUtf8
113,454741,5239.0,2s,1,1,2,BenchmarkParseLiteralStringValid/1kValidUtf8
114,838,2856448.0,2s,1,1,2,BenchmarkParseLiteralStringValid/1MValidUtf8
115,31644835,75.94,2s,1,1,2,BenchmarkParseLiteralStringValid/10Valid
116,361708,6592.0,2s,1,1,2,BenchmarkParseLiteralStringValid/1kValid
117,696,3450255.0,2s,1,1,2,BenchmarkParseLiteralStringValid/1MValid
118,4960041,493.4,2s,1,1,2,BenchmarkParseBasicStringWithUnicode/4
119,7815450,306.1,2s,1,1,2,BenchmarkParseBasicStringWithUnicode/8
120,212396082,11.3,2s,1,1,2,BenchmarkParseBasicStringsEasy/1
121,75879684,31.71,2s,1,1,2,BenchmarkParseBasicStringsEasy/4
122,100000000,23.01,2s,1,1,2,BenchmarkParseBasicStringsEasy/8
123,64278072,37.09,2s,1,1,2,BenchmarkParseBasicStringsEasy/16
124,47278341,50.65,2s,1,1,2,BenchmarkParseBasicStringsEasy/21
125,78,30635412.0,2s,1,1,2,BenchmarkUnmarshalDataset/config
126,7,287959253.0,2s,1,1,2,BenchmarkUnmarshalDataset/canada
127,44,52741074.0,2s,1,1,2,BenchmarkUnmarshalDataset/citm_catalog
128,126,19391681.0,2s,1,1,2,BenchmarkUnmarshalDataset/twitter
129,16,137125288.0,2s,1,1,2,BenchmarkUnmarshalDataset/code
130,3732,625174.0,2s,1,1,2,BenchmarkUnmarshalDataset/example
131,2506436,928.8,2s,1,1,2,BenchmarkUnmarshal/SimpleDocument/struct
132,659181,3505.0,2s,1,1,2,BenchmarkUnmarshal/SimpleDocument/map
133,15440,150663.0,2s,1,1,2,BenchmarkUnmarshal/ReferenceFile/struct
134,23611,101916.0,2s,1,1,2,BenchmarkUnmarshal/ReferenceFile/map
135,139605,17037.0,2s,1,1,2,BenchmarkUnmarshal/HugoFrontMatter
136,1641980,1417.0,2s,1,1,2,BenchmarkMarshal/SimpleDocument/struct
137,2799272,867.6,2s,1,1,2,BenchmarkMarshal/SimpleDocument/map
138,18039,133806.0,2s,1,1,2,BenchmarkMarshal/ReferenceFile/struct
139,33651,73444.0,2s,1,1,2,BenchmarkMarshal/ReferenceFile/map
140,187284,13034.0,2s,1,1,2,BenchmarkMarshal/HugoFrontMatter
141,1046,3443730.0,3s,1,1,2,BenchmarkScanComments/1MValid
142,76070749,47.59,3s,1,1,2,BenchmarkScanComments/10ValidUtf8
143,1293678,2781.0,3s,1,1,2,BenchmarkScanComments/1kValidUtf8
144,681,5254688.0,3s,1,1,2,BenchmarkScanComments/1MValidUtf8
145,91457702,39.25,3s,1,1,2,BenchmarkScanComments/10Valid
146,1000000,3383.0,3s,1,1,2,BenchmarkScanComments/1kValid
147,140938615,25.63,3s,1,1,2,BenchmarkParseLiteralStringValid/10ValidUtf8
148,1289486,2794.0,3s,1,1,2,BenchmarkParseLiteralStringValid/1kValidUtf8
149,1255,2859250.0,3s,1,1,2,BenchmarkParseLiteralStringValid/1MValidUtf8
150,47253445,70.13,3s,1,1,2,BenchmarkParseLiteralStringValid/10Valid
151,545056,6586.0,3s,1,1,2,BenchmarkParseLiteralStringValid/1kValid
152,535,6731359.0,3s,1,1,2,BenchmarkParseLiteralStringValid/1MValid
153,20638711,174.2,3s,1,1,2,BenchmarkParseBasicStringWithUnicode/4
154,4812930,746.8,3s,1,1,2,BenchmarkParseBasicStringWithUnicode/8
155,165165883,21.54,3s,1,1,2,BenchmarkParseBasicStringsEasy/1
156,218094925,16.5,3s,1,1,2,BenchmarkParseBasicStringsEasy/4
157,86555944,43.37,3s,1,1,2,BenchmarkParseBasicStringsEasy/8
158,51043347,69.97,3s,1,1,2,BenchmarkParseBasicStringsEasy/16
159,70669435,51.02,3s,1,1,2,BenchmarkParseBasicStringsEasy/21
160,100,30832134.0,3s,1,1,2,BenchmarkUnmarshalDataset/config
