,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,-0.0003412644243742163,0.036717671148077016,0.04303899938096221,0.03667402104728496,-0.5137061316487039,-0.27762257741940605
Median (CV),0.0003412644243742163,0.0,0.03682481230456659,0.0430469357629244,0.03674941667592578,-0.5124839288265266,-0.276416247361153
Mean (RCIW_1),-0.036717671148077016,-0.03682481230456659,0.0,0.006547515118807638,-8.730020158410184e-05,-0.5693123918667957,-0.32049491277916226
Mean (RCIW_2),-0.04303899938096221,-0.0430469357629244,-0.006547515118807638,0.0,-0.006555451500769829,-0.5848121458389549,-0.33268122728210664
Median (RCIW_3),-0.03667402104728496,-0.03674941667592578,8.730020158410184e-05,0.006555451500769829,0.0,-0.5690941413628355,-0.32032428056697515
Mean (RMAD),0.5137061316487039,0.5124839288265266,0.5693123918667957,0.5848121458389549,0.5690941413628355,0.0,0.17560435548642084
Median (RMAD),0.27762257741940605,0.276416247361153,0.32049491277916226,0.33268122728210664,0.32032428056697515,-0.17560435548642084,0.0
