,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,0.0225,0.005625,0.00625,0.02625,-0.000625,0.0175
Median (CV),-0.0225,0.0,-0.01875,-0.02,0.005,-0.02,0.00125
Mean (RCIW_1),-0.005625,0.01875,0.0,0.00125,0.025,-0.00375,0.01625
Mean (RCIW_2),-0.00625,0.02,-0.00125,0.0,0.0275,-0.005,0.0175
Median (RCIW_3),-0.02625,-0.005,-0.025,-0.0275,0.0,-0.0225,0.000625
Mean (RMAD),0.000625,0.02,0.00375,0.005,0.0225,0.0,0.01875
Median (RMAD),-0.0175,-0.00125,-0.01625,-0.0175,-0.000625,-0.01875,0.0
