Project,Method,Max Time in s,Max Time in h,Min Time in s,Min Time in h,Time Saved,Time Saved %,Fraction of leq 0.01 change,Fraction of leq 0.03 change,Fraction of leq 0.05 change,Fraction of leq 0.1 change,CI Lower Dev,CI Upper Dev
zap_results,cv_mean_p,3450,0.9583333333333334,726,0.20166666666666666,2724,0.7895652173913044,0.8260869565217391,1.0,1.0,1.0,0.0337119726095794,0.026201189973507
zap_results,cv_median_p,3450,0.9583333333333334,726,0.20166666666666666,2724,0.7895652173913044,0.8260869565217391,1.0,1.0,1.0,0.0561724363161333,0.0144150803917945
zap_results,rciw_mean_p,3450,0.9583333333333334,1188,0.33,2262,0.6556521739130434,0.8478260869565217,1.0,1.0,1.0,0.0363788812046812,0.024616050050274
zap_results,rciw_mean_t,3450,0.9583333333333334,1920,0.5333333333333333,1530,0.4434782608695652,1.0,1.0,1.0,1.0,0.0432306684634499,0.0094214394478324
zap_results,rciw_median_p,3450,0.9583333333333334,1188,0.33,2262,0.6556521739130434,0.9565217391304348,1.0,1.0,1.0,0.0561724363161333,0.0124069478908188
zap_results,rciw_median_t,3450,0.9583333333333334,1775,0.4930555555555555,1675,0.4855072463768116,1.0,1.0,1.0,1.0,0.0108395776252542,0.0115609490340836
zap_results,rmad_mean_p,3450,0.9583333333333334,139,0.03861111111111112,3311,0.9597101449275363,0.782608695652174,1.0,1.0,1.0,0.0477314962052928,0.0762644356556518
zap_results,rmad_median_p,3450,0.9583333333333334,139,0.03861111111111112,3311,0.9597101449275363,0.8043478260869565,1.0,1.0,1.0,0.0561724363161333,0.0262264150943395
