Project,Method,Max Time in s,Max Time in h,Min Time in s,Min Time in h,Time Saved,Time Saved %,Fraction of leq 0.01 change,Fraction of leq 0.03 change,CI Lower Dev,CI Upper Dev
laaber_rxjava,cv__mean__ci_bootstrap_mean_p,320750,89.09722222222221,85943,23.873055555555556,234807,0.7320561184723304,0.65705378020265,0.8222915042868277,0.313854129586077,0.3392387271959725
laaber_rxjava,cv__median__ci_bootstrap_median_p,320750,89.09722222222221,85943,23.873055555555556,234807,0.7320561184723304,0.79423226812159,0.9353078721745908,0.3775669247106176,0.3777561335448755
laaber_rxjava,rciw_mean_p__mean__ci_bootstrap_mean_p,320750,89.09722222222221,114059,31.683055555555555,206691,0.6443990646921278,0.7435697583787997,0.8862042088854248,0.31335989025464,0.3393088867381373
laaber_rxjava,rciw_mean_t__mean__ci_bootstrap_mean_t,320750,89.09722222222221,152665,42.40694444444444,168085,0.524037412314887,0.8503507404520655,0.9516757599376462,0.2801024041544308,0.3080362328851793
laaber_rxjava,rciw_median_p__median__ci_bootstrap_median_p,320750,89.09722222222221,114147,31.7075,206603,0.6441247077162899,0.8519095869056897,0.9524551831644583,0.3775749366111618,0.3777526022518793
laaber_rxjava,rmad__mean__ci_bootstrap_mean_p,320750,89.09722222222221,19458,5.405,301292,0.939335931410756,0.5042868277474669,0.7420109119251753,1.318081547479774,0.4884738823646111
laaber_rxjava,rmad__median__ci_bootstrap_median_p,320750,89.09722222222221,19458,5.405,301292,0.939335931410756,0.6632891660171473,0.8651597817614964,1.7027127343600563,0.5510791366906475
