,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,0.0475,0.003125,0.008125,0.05875,-0.038125,0.005
Median (CV),-0.0475,0.0,-0.045,-0.045,0.004375,-0.06625,-0.026875
Mean (RCIW_1),-0.003125,0.045,0.0,0.00875,0.0575,-0.046875,-0.0025
Mean (RCIW_2),-0.008125,0.045,-0.00875,0.0,0.0575,-0.0475,-0.00375
Median (RCIW_3),-0.05875,-0.004375,-0.0575,-0.0575,0.0,-0.07625,-0.036875
Mean (RMAD),0.038125,0.06625,0.046875,0.0475,0.07625,0.0,0.05125
Median (RMAD),-0.005,0.026875,0.0025,0.00375,0.036875,-0.05125,0.0
