,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,-0.00125,-0.040625,0.11,0.04375,-0.271875,-0.24625
Median (CV),0.00125,0.0,-0.045,0.1075,0.043125,-0.26625,-0.253125
Mean (RCIW_1),0.040625,0.045,0.0,0.160625,0.101875,-0.279375,-0.25875
Mean (RCIW_2),-0.11,-0.1075,-0.160625,0.0,-0.065,-0.3875,-0.37
Median (RCIW_3),-0.04375,-0.043125,-0.101875,0.065,0.0,-0.33125,-0.319375
Mean (RMAD),0.271875,0.26625,0.279375,0.3875,0.33125,0.0,0.05625
Median (RMAD),0.24625,0.253125,0.25875,0.37,0.319375,-0.05625,0.0
