,Mean (CV),Median (CV),Mean (RCIW_1),Mean (RCIW_2),Median (RCIW_3),Mean (RMAD),Median (RMAD)
Mean (CV),0.0,0.005202913631633715,0.0,-0.001040582726326743,0.005202913631633715,-0.003121748178980229,0.01040582726326743
Median (CV),-0.005202913631633715,0.0,-0.007284079084287201,-0.006243496357960458,-0.006243496357960458,-0.013527575442247659,-0.001040582726326743
Mean (RCIW_1),0.0,0.007284079084287201,0.0,0.0,0.004162330905306972,-0.004162330905306972,0.01040582726326743
Mean (RCIW_2),0.001040582726326743,0.006243496357960458,0.0,0.0,0.003121748178980229,-0.007284079084287201,0.005202913631633715
Median (RCIW_3),-0.005202913631633715,0.006243496357960458,-0.004162330905306972,-0.003121748178980229,0.0,-0.013527575442247659,0.004162330905306972
Mean (RMAD),0.003121748178980229,0.013527575442247659,0.004162330905306972,0.007284079084287201,0.013527575442247659,0.0,0.015608740894901144
Median (RMAD),-0.01040582726326743,0.001040582726326743,-0.01040582726326743,-0.005202913631633715,-0.004162330905306972,-0.015608740894901144,0.0
